"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2019","       0.008186","      14.240644","       0.315276","       2.085596","       0.134034","      11.980341","      28.764077"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2020","       0.006793","      13.073954","       0.035995","       1.843732","       0.111229","      10.105084","      25.176787"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2021","       0.008250","      13.587016","       0.034452","       1.839058","       0.114910","       9.851212","      25.434898"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2022","       0.006755","      14.839964","       0.031656","       1.926563","       0.114524","      10.119381","      27.038843"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2015","       0.000000","       0.226369","       0.002239","       0.059676","       0.000000","       0.129584","       0.417868"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2016","       0.000000","       0.252222","       0.006280","       0.007778","       0.000067","       0.128609","       0.394956"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2017","       0.000000","       0.256004","       0.016502","       0.043252","       0.002361","       0.136917","       0.455036"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2018","       0.000055","       0.385334","       0.042098","       0.035346","       0.002088","       0.000000","       0.464921"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2019","       0.000000","       0.360271","       0.033656","       0.072905","       0.001285","       0.000000","       0.468117"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2020","       0.000000","       0.186116","       0.020681","       0.030210","       0.001400","       0.138079","       0.376486"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2021","       0.000000","       0.363581","       0.019900","       0.101787","       0.000547","       0.025233","       0.511048"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2022","       0.000000","       0.403239","       0.011708","       0.112038","       0.000000","       0.000000","       0.526985"
"Publicly owned utility","Vernon, City of","2016","       0.000000","       0.614959","       0.193362","       7.804393","       0.000000","       0.001474","       8.614188"
"Publicly owned utility","Vernon, City of","2017","       0.000000","       5.008504","       1.276292","      52.769260","       0.000000","       0.012025","      59.066081"
"Publicly owned utility","Vernon, City of","2018","       0.000000","       2.798633","       0.737235","      32.347904","       0.000000","       0.007454","      35.891226"
"Publicly owned utility","Vernon, City of","2019","       0.000000","       3.279751","       0.675248","      31.905635","       0.000000","       0.007106","      35.867740"
"Publicly owned utility","Vernon, City of","2020","       0.000000","       3.627805","       0.677213","      32.539371","       0.000000","       0.007268","      36.851657"
"Publicly owned utility","Vernon, City of","2021","       0.000000","       3.840064","       0.782328","      33.193770","       0.031245","       0.008161","      37.855568"
"Publicly owned utility","Vernon, City of","2022","       0.000000","       2.868583","       0.801101","      32.106569","       0.072004","       0.007720","      35.855977"
"Western Area Power Agency","Gas Producer","2015","       0.000000","       0.000000","       0.000000","       0.000000","    1862.800940","       0.000000","    1862.800940"
"Western Area Power Agency","Gas Producer","2015","       2.197890","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       2.197890"
"Western Area Power Agency","Gas Producer","2016","       3.381418","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       3.381418"
"Western Area Power Agency","Gas Producer","2016","       0.000000","       0.000000","       0.000000","       0.000000","    1787.223602","       0.000000","    1787.223602"
"Western Area Power Agency","Gas Producer","2017","       0.000000","       0.000000","       0.000000","       0.000000","    1630.480140","       0.000000","    1630.480140"
"Western Area Power Agency","Gas Producer","2017","       4.572019","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       4.572019"
"Western Area Power Agency","Gas Producer","2018","       4.416542","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       4.416542"
"Western Area Power Agency","Gas Producer","2018","       0.000000","       0.000000","       0.000000","       0.000000","    1619.711102","       0.000000","    1619.711102"
"Western Area Power Agency","Gas Producer","2019","       0.000000","       0.000000","       0.000000","       0.000000","    1563.010784","       0.000000","    1563.010784"
"Western Area Power Agency","Gas Producer","2019","       4.436265","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       4.436265"
"Western Area Power Agency","Gas Producer","2020","       3.174921","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       3.174921"
"Western Area Power Agency","Gas Producer","2020","       0.000000","       0.000000","       0.000000","       0.000000","    1437.288616","       0.000000","    1437.288616"
"Western Area Power Agency","Gas Producer","2021","       0.000000","       0.000000","       0.000000","       0.000000","    1522.924159","       0.000000","    1522.924159"
"Western Area Power Agency","Gas Producer","2021","       1.663804","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       1.663804"
"Western Area Power Agency","Gas Producer","2022","       0.486747","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.486747"
"Western Area Power Agency","Gas Producer","2022","       0.000000","       0.000000","       0.000000","       0.000000","    1417.733098","       0.000000","    1417.733098"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       4.756923","       0.000000","       0.000000","       0.000000","       4.756923"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       0.000000","       0.569690","       0.000000","       0.569690"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      88.105113","      88.105113"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.073441","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.073441"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","      29.868232","       0.000000","       0.000000","       0.000000","       0.000000","      29.868232"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       5.442999","       0.000000","       0.000000","       5.442999"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       6.319694","       0.000000","       0.000000","       6.319694"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","      30.162979","       0.000000","       0.000000","       0.000000","       0.000000","      30.162979"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.068292","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.068292"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      92.026514","      92.026514"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       0.000000","       0.610493","       0.000000","       0.610493"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       5.918896","       0.000000","       0.000000","       0.000000","       5.918896"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.000000","       0.000000","       4.660616","       0.000000","       0.000000","       0.000000","       4.660616"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.000000","       0.000000","       0.000000","       0.000000","       0.610804","       0.000000","       0.610804"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      96.194067","      96.194067"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.068175","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.068175"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.000000","      31.447499","       0.000000","       0.000000","       0.000000","       0.000000","      31.447499"
"Western Area Power Agency","Southwest Gas Corporation","2017","       0.000000","       0.000000","       0.000000","       6.552699","       0.000000","       0.000000","       6.552699"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.000000","       0.000000","       0.000000","       6.525010","       0.000000","       0.000000","       6.525010"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.000000","      30.269966","       0.000000","       0.000000","       0.000000","       0.000000","      30.269966"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.057381","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.057381"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      91.625855","      91.625855"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.000000","       0.000000","       0.000000","       0.000000","       0.574178","       0.000000","       0.574178"
"Western Area Power Agency","Southwest Gas Corporation","2018","       0.000000","       0.000000","       5.250479","       0.000000","       0.000000","       0.000000","       5.250479"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.000000","       0.000000","       5.465805","       0.000000","       0.000000","       0.000000","       5.465805"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.000000","       0.000000","       0.000000","       0.000000","       0.718334","       0.000000","       0.718334"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","     106.862146","     106.862146"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.065336","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.065336"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.000000","      33.314147","       0.000000","       0.000000","       0.000000","       0.000000","      33.314147"
"Western Area Power Agency","Southwest Gas Corporation","2019","       0.000000","       0.000000","       0.000000","       6.590746","       0.000000","       0.000000","       6.590746"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.000000","       0.000000","       0.000000","       6.448106","       0.000000","       0.000000","       6.448106"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.000000","      30.340939","       0.000000","       0.000000","       0.000000","       0.000000","      30.340939"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.059897","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.059897"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","     101.183368","     101.183368"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.000000","       0.000000","       0.000000","       0.000000","       1.267312","       0.000000","       1.267312"
"Western Area Power Agency","Southwest Gas Corporation","2020","       0.000000","       0.000000","       3.941280","       0.000000","       0.000000","       0.000000","       3.941280"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.000000","       0.000000","       4.360967","       0.000000","       0.000000","       0.000000","       4.360967"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.000000","       0.000000","       0.000000","       0.000000","       1.296527","       0.000000","       1.296527"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","     102.789146","     102.789146"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.073824","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.073824"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.000000","      33.578745","       0.000000","       0.000000","       0.000000","       0.000000","      33.578745"
"Western Area Power Agency","Southwest Gas Corporation","2021","       0.000000","       0.000000","       0.000000","       6.251151","       0.000000","       0.000000","       6.251151"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.000000","       0.000000","       0.000000","       5.732486","       0.000000","       0.000000","       5.732486"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.000000","      38.121061","       0.000000","       0.000000","       0.000000","       0.000000","      38.121061"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.068419","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.068419"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","     121.133956","     121.133956"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.000000","       0.000000","       0.000000","       0.000000","       1.678434","       0.000000","       1.678434"
"Western Area Power Agency","Southwest Gas Corporation","2022","       0.000000","       0.000000","       3.634195","       0.000000","       0.000000","       0.000000","       3.634195"
