"Utility Type","Utility Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Streetlight","Total Usage"
"Investor owned utility","Southern California Edison Company","2019","    2811.563777","   30659.356791","    4450.139668","   13196.895083","    2378.877902","   28985.238610","     452.597360","   82934.669191"
"Investor owned utility","Southern California Edison Company","2020","    3111.609105","   28799.603173","    4449.414158","   12449.531667","    1821.877627","   32475.077480","     425.517410","   83532.630620"
"Investor owned utility","Southern California Edison Company","2021","    3274.346721","   29008.494714","    5211.894124","   12878.388595","    1563.785418","   30757.758491","     635.584026","   83330.252089"
"Investor owned utility","Southern California Edison Company","2022","    3149.645091","   30496.080871","    5321.225462","   12876.612412","    1776.062907","   31603.721070","     646.637866","   85869.985679"
"Joint utility agency","Calaveras Public Power Agency","2015","       8.113060","      16.549568","       5.771428","       0.000000","       0.000000","       0.000000","       0.000000","      30.434056"
"Joint utility agency","Calaveras Public Power Agency","2016","       9.435424","      18.062021","       6.477008","       0.000000","       0.000000","       0.000000","       0.000000","      33.974453"
"Joint utility agency","Calaveras Public Power Agency","2017","       8.166093","      17.307944","       6.471792","       0.000000","       0.000000","       0.000000","       0.000000","      31.945829"
"Joint utility agency","Calaveras Public Power Agency","2018","       8.394457","      16.871544","       5.826716","       0.000000","       0.000000","       0.000000","       0.000000","      31.092717"
"Joint utility agency","Calaveras Public Power Agency","2019","       7.872740","      17.263473","       5.935372","       0.000000","       0.000000","       0.000000","       0.000000","      31.071585"
"Joint utility agency","Calaveras Public Power Agency","2020","       8.059006","      16.444710","       5.966578","       0.000000","       0.000000","       0.000000","       0.000000","      30.470294"
"Joint utility agency","Calaveras Public Power Agency","2021","       8.744276","      17.541121","       6.043042","       0.000000","       0.000000","       0.000000","       0.000000","      32.328439"
"Joint utility agency","Calaveras Public Power Agency","2022","       8.233454","      17.806072","       6.269599","       0.000000","       0.000000","       0.000000","       0.000000","      32.309125"
"Joint utility agency","Tuolumne County Public Power Agency","2015","       0.000000","      16.923355","       5.563770","       0.000000","       0.084545","       0.000000","       0.000000","      22.571670"
"Joint utility agency","Tuolumne County Public Power Agency","2016","       0.000000","      17.507134","       6.180341","       0.000000","       0.081760","       0.000000","       0.000000","      23.769235"
"Joint utility agency","Tuolumne County Public Power Agency","2017","       0.000000","      17.763379","       6.768821","       0.000000","       0.197440","       0.000000","       0.000000","      24.729640"
"Joint utility agency","Tuolumne County Public Power Agency","2018","       0.000000","      17.902105","       6.517154","       0.000000","       0.104160","       0.000000","       0.000000","      24.523419"
"Joint utility agency","Tuolumne County Public Power Agency","2019","       0.000000","      18.891243","       6.475007","       0.000000","       0.129680","       0.000000","       0.000000","      25.495930"
"Joint utility agency","Tuolumne County Public Power Agency","2020","       0.000000","      24.431754","       6.526794","       0.000000","       0.110480","       0.000000","       0.000000","      31.069028"
"Joint utility agency","Tuolumne County Public Power Agency","2021","       0.000000","      33.161745","       6.966088","       0.000000","       0.102320","       0.000000","       0.000000","      40.230153"
"Joint utility agency","Tuolumne County Public Power Agency","2022","       0.000000","      31.918196","       6.592848","       0.000000","       0.098320","       0.000000","       0.000000","      38.609364"
"Publicly owned utility","Alameda Municipal Power","2015","       0.471473","     165.896792","      30.088022","      16.198314","       6.545757","     126.691000","       1.836642","     347.728000"
"Publicly owned utility","Alameda Municipal Power","2016","       0.446035","     184.334465","      33.394508","      19.987071","       7.407221","     124.441623","       2.071447","     372.082370"
"Publicly owned utility","Alameda Municipal Power","2017","       0.453008","     184.429248","      24.799470","      20.975106","       6.669199","     127.520908","       1.750925","     366.597864"
"Publicly owned utility","Alameda Municipal Power","2018","       0.411722","     167.019282","      24.355558","      21.662367","       6.656554","     124.095585","       1.603379","     345.804447"
"Publicly owned utility","Alameda Municipal Power","2019","       0.447169","     173.724073","       9.517804","      21.988337","       7.503116","     126.084120","       1.622655","     340.887274"
"Publicly owned utility","Alameda Municipal Power","2020","       0.380331","     158.715423","       9.115653","      22.617120","       5.824225","     138.383732","       1.687032","     336.723516"
"Publicly owned utility","Alameda Municipal Power","2021","       0.419173","     163.314457","       9.990009","      22.456174","       5.455204","     130.558202","       1.455078","     333.648297"
"Publicly owned utility","Alameda Municipal Power","2022","       0.389331","     168.813307","       9.755918","      24.859509","       5.232735","     131.305285","       1.523629","     341.879714"
"Publicly owned utility","Anaheim, City of","2015","      16.990561","    1264.915339","      81.580531","     371.463857","      71.589387","     609.578272","       0.912191","    2417.030138"
"Publicly owned utility","Anaheim, City of","2016","      33.967903","    1240.242290","      68.659213","     359.065528","      66.052454","     587.458477","       0.831307","    2356.277172"
"Publicly owned utility","Anaheim, City of","2017","      28.505506","    1223.835893","      70.481173","     353.849537","      65.418216","     601.952014","       0.835838","    2344.878177"
"Publicly owned utility","Anaheim, City of","2018","      34.040047","    1192.551930","      69.997444","     347.337136","      64.250259","     597.551316","       0.784540","    2306.512672"
"Publicly owned utility","Anaheim, City of","2019","      33.667559","    1159.689566","      64.937336","     346.439692","      64.590279","     567.180682","       0.613173","    2237.118287"
"Publicly owned utility","Anaheim, City of","2020","      17.776631","     965.905976","      60.255428","     348.707003","      59.743593","     632.860279","       0.645680","    2085.894590"
"Publicly owned utility","Anaheim, City of","2021","      13.691686","     999.184697","      62.849147","     342.095656","      59.661820","     595.313274","       0.619638","    2073.415918"
"Publicly owned utility","Anaheim, City of","2022","      13.822051","    1098.138392","      70.893642","     339.043903","      61.735188","     637.763602","       0.530042","    2221.926820"
"Publicly owned utility","Azusa Light and Water","2015","       2.327701","      86.418056","      22.141618","      53.906270","       4.625678","      84.173773","       0.102680","     253.695776"
"Publicly owned utility","Azusa Light and Water","2016","       2.553104","      85.087072","      20.876115","      51.442947","       7.273261","      84.711094","       0.442934","     252.386527"
"Publicly owned utility","Azusa Light and Water","2017","       2.302948","      87.905638","      21.394367","      49.184712","       8.507390","      88.076998","       0.472638","     257.844691"
"Publicly owned utility","Azusa Light and Water","2018","       2.321241","      84.778991","      21.115081","      47.013666","       8.441556","      85.951773","       0.473533","     250.095841"
"Publicly owned utility","Azusa Light and Water","2019","       1.444225","      81.169282","      20.706391","      47.160895","       7.051514","      83.487023","       0.478610","     241.497940"
"Publicly owned utility","Azusa Light and Water","2020","       2.144534","      73.550681","      21.040460","      42.833374","       6.192489","      98.564088","       0.452950","     244.778576"
"Publicly owned utility","Azusa Light and Water","2021","       2.387172","      71.153079","      15.605105","      45.735802","       9.587851","      91.006651","       0.228656","     235.704316"
"Publicly owned utility","Azusa Light and Water","2022","       2.134526","      79.080456","      24.033300","      39.997617","       3.411903","      96.798532","       0.358963","     245.815297"
"Publicly owned utility","Banning, City of","2015","      15.550033","      54.104415","       3.277766","       4.534572","       0.079534","      63.485088","       1.674456","     142.705864"
"Publicly owned utility","Banning, City of","2016","      12.029194","      44.153963","       2.852769","       3.678268","       0.085290","      62.653544","       1.539493","     126.992521"
"Publicly owned utility","Banning, City of","2017","       7.941844","      34.270534","       3.199117","       3.223831","       0.079602","      70.548292","       1.684653","     120.947873"
"Publicly owned utility","Banning, City of","2018","      10.839216","      35.658171","       2.955210","       3.588698","       0.081124","      68.046108","       1.679914","     122.848441"
"Publicly owned utility","Banning, City of","2019","       8.978424","      32.275153","       2.644690","       3.634907","       0.076971","      62.701597","       1.681296","     111.993038"
"Publicly owned utility","Banning, City of","2020","      10.174949","      50.433548","       3.787543","       5.348510","       0.084850","      72.804755","       1.682157","     144.316312"
"Publicly owned utility","Banning, City of","2021","      11.312968","      50.578141","       4.591241","       6.659600","       0.078727","      73.984736","       1.549635","     148.755048"
"Publicly owned utility","Banning, City of","2022","       9.100533","      47.401318","       4.205771","       8.484017","       0.079192","      80.593026","       1.683822","     151.547679"
"Publicly owned utility","Biggs Municipal Utilities","2015","       0.000000","       1.054740","       0.000000","       9.143913","       0.000000","       4.831640","       0.000000","      15.030293"
"Publicly owned utility","Biggs Municipal Utilities","2016","       0.000000","       1.054305","       0.000000","      10.483207","       0.000000","       4.711378","       0.000000","      16.248890"
"Publicly owned utility","Biggs Municipal Utilities","2017","       0.000000","       1.090686","       0.000000","      10.981412","       0.000000","       5.109858","       0.000000","      17.181956"
"Publicly owned utility","Biggs Municipal Utilities","2018","       0.000000","       0.989487","       0.000000","       9.510970","       0.000000","       4.836116","       0.000000","      15.336573"
"Publicly owned utility","Biggs Municipal Utilities","2019","       0.000000","       0.980027","       0.000000","       9.787275","       0.000000","       5.052765","       0.000000","      15.820067"
"Publicly owned utility","Biggs Municipal Utilities","2020","       0.000000","       0.899920","       0.000000","      11.794728","       0.000000","       5.436888","       0.000000","      18.131536"
"Publicly owned utility","Biggs Municipal Utilities","2021","       0.000000","       0.960066","       0.000000","      10.854852","       0.000000","       5.353915","       0.000000","      17.168833"
"Publicly owned utility","Biggs Municipal Utilities","2022","       0.000000","       0.984037","       0.000000","      10.585848","       0.000000","       5.157908","       0.000000","      16.727793"
"Publicly owned utility","Burbank Water and Power","2015","      11.286367","     585.809451","     135.923471","      39.845260","       3.135452","     273.000000","      10.000000","    1059.000001"
"Publicly owned utility","Burbank Water and Power","2016","      11.656241","     578.324236","     141.588736","      41.096434","       3.334353","     262.000000","       9.000000","    1047.000000"
"Publicly owned utility","Burbank Water and Power","2017","      12.735076","     596.466419","     151.905721","      43.783902","       4.762876","     273.781177","       9.000000","    1092.435171"
"Publicly owned utility","Burbank Water and Power","2018","      13.283588","     585.929369","     151.257501","      42.347713","       4.613561","     266.627131","       9.000000","    1073.058863"
"Publicly owned utility","Burbank Water and Power","2019","      12.995300","     562.831451","     150.549079","      40.426896","       4.760634","     254.823025","       9.000000","    1035.386385"
"Publicly owned utility","Burbank Water and Power","2020","      11.741814","     507.834649","     136.167667","      37.299012","       5.441399","     287.641801","       9.000000","     995.126342"
"Publicly owned utility","Burbank Water and Power","2021","      14.249903","     493.763391","     128.338210","      37.117931","       7.900264","     266.931816","       9.000000","     957.301515"
"Publicly owned utility","Burbank Water and Power","2022","      14.149065","     536.140960","     126.139439","      38.551260","       6.568231","     281.892655","       9.000000","    1012.441610"
"Publicly owned utility","Colton Public Utilities","2015","       5.683392","     159.688838","      16.835350","      70.453845","       2.715622","     100.997999","       0.024471","     356.399517"
"Publicly owned utility","Colton Public Utilities","2016","       6.200783","     161.362983","      17.692424","      66.121571","       2.339900","      97.785064","       0.024884","     351.527609"
"Publicly owned utility","Colton Public Utilities","2017","       5.367553","     166.084097","      18.767825","      62.844406","       2.532571","     100.943909","       0.028989","     356.569350"
"Publicly owned utility","Colton Public Utilities","2018","       6.386140","     167.208308","      18.111255","      62.749014","       2.560089","      99.186480","       0.033902","     356.235188"
"Publicly owned utility","Colton Public Utilities","2019","       8.070550","     154.882173","      17.202693","      54.553141","       2.383154","      98.132691","       3.076449","     338.300851"
"Publicly owned utility","Colton Public Utilities","2020","       9.247308","     149.164455","      18.742551","      52.663556","       2.557653","     114.725266","       2.127191","     349.227980"
"Publicly owned utility","Colton Public Utilities","2021","      11.601915","     159.334567","      20.469127","      62.675637","       2.391669","     122.979624","       3.054369","     382.506908"
"Publicly owned utility","Colton Public Utilities","2022","       9.199555","     152.175871","      19.137719","      55.956891","       1.966431","     115.022032","       1.429561","     354.888060"
"Publicly owned utility","Corona, City of","2015","       2.491672","      39.671341","      13.876218","       3.776635","      14.414865","       5.229536","       0.000000","      79.460267"
"Publicly owned utility","Corona, City of","2016","       9.458293","      49.381875","      26.125199","      24.593048","      14.925137","       5.679854","       0.130801","     130.294207"
"Publicly owned utility","Corona, City of","2017","      11.612161","      50.733936","      33.636865","      40.792191","      14.808114","       6.233149","       0.174402","     157.990818"
"Publicly owned utility","Corona, City of","2018","      11.876079","      47.090314","      31.883853","      40.550435","      15.006910","       6.616028","       0.174402","     153.198021"
"Publicly owned utility","Corona, City of","2019","      11.179938","      45.069579","      29.403908","      39.438417","      13.623530","       6.971073","       0.174402","     145.860847"
"Publicly owned utility","Corona, City of","2020","      10.761827","      42.514596","      26.296643","      35.288432","      12.453770","       8.101095","       0.174402","     135.590765"
"Publicly owned utility","Corona, City of","2021","      11.359407","      43.704095","      27.576154","      37.499099","      12.972064","       7.919796","       0.174402","     141.205017"
"Publicly owned utility","Corona, City of","2022","       9.270960","      41.302849","      27.020682","      39.169034","      13.588050","       8.411518","       3.370904","     142.133997"
"Publicly owned utility","Department of Water Resources","2015","    3589.012431","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    3589.012431"
"Publicly owned utility","Department of Water Resources","2016","    6867.919382","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    6867.919382"
"Publicly owned utility","Department of Water Resources","2017","   10016.453824","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","   10016.453824"
"Publicly owned utility","Department of Water Resources","2018","    6022.935831","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    6022.935831"
"Publicly owned utility","Department of Water Resources","2019","    8005.388379","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    8005.388379"
"Publicly owned utility","Department of Water Resources","2020","    4096.418863","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    4096.418863"
"Publicly owned utility","Department of Water Resources","2021","    2891.650904","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    2891.650904"
"Publicly owned utility","Department of Water Resources","2022","    2596.206540","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","    2596.206540"
"Publicly owned utility","Glendale Water & Power","2015","       0.673817","     604.292922","      15.328474","      61.109302","      19.265704","     382.076372","       9.168541","    1091.915132"
"Publicly owned utility","Glendale Water & Power","2016","       0.703474","     588.545287","      16.589530","      62.835940","      16.785212","     370.768635","       9.284932","    1065.513010"
"Publicly owned utility","Glendale Water & Power","2017","       0.630813","     591.168906","      16.177063","      58.829923","      16.193296","     379.000000","       9.000000","    1071.000001"
"Publicly owned utility","Glendale Water & Power","2018","       0.638256","     576.262762","      13.707582","      55.174338","      16.217063","     371.999999","       8.999999","    1042.999999"
"Publicly owned utility","Glendale Water & Power","2019","       0.636017","     545.537296","      12.624155","      54.757902","      15.467629","     357.805000","       9.208000","     996.035999"
"Publicly owned utility","Glendale Water & Power","2020","       0.693323","     495.402299","      12.119444","      48.346644","      12.666291","     404.362000","       9.170000","     982.760001"
"Publicly owned utility","Glendale Water & Power","2021","       1.026426","     507.126616","      12.195217","      47.194059","      13.457681","     383.000000","       9.000000","     972.999999"
"Publicly owned utility","Glendale Water & Power","2022","       1.068309","     533.931094","      13.314741","      48.991979","      13.693877","     407.000000","       9.000000","    1027.000000"
"Publicly owned utility","Gridley, City of","2015","       0.000000","      14.469491","       0.591192","       3.511100","       0.038057","      15.382891","       0.000000","      33.992731"
"Publicly owned utility","Gridley, City of","2016","       0.000000","      14.152692","       0.588638","       3.885204","       0.040438","      15.489853","       0.000000","      34.156825"
"Publicly owned utility","Gridley, City of","2017","       0.000000","      14.047317","       0.605457","       3.442913","       0.049153","      16.651606","       0.000000","      34.796446"
"Publicly owned utility","Gridley, City of","2018","       0.000000","      13.806700","       0.604069","       2.008870","       0.045365","      15.380022","       0.000000","      31.845026"
"Publicly owned utility","Gridley, City of","2019","       0.000000","      13.522228","       0.642962","       0.175732","       0.043980","      15.821227","       0.000000","      30.206129"
"Publicly owned utility","Gridley, City of","2020","       0.000000","      12.701175","       0.651674","       1.386823","       0.037555","      17.222104","       0.000000","      31.999331"
"Publicly owned utility","Gridley, City of","2021","       0.000000","      11.174621","       0.565249","       1.110107","       0.036302","      17.575449","       0.000000","      30.461728"
"Publicly owned utility","Gridley, City of","2022","       0.000000","      16.085436","       0.623258","       0.712019","       0.034388","      19.616882","       0.000000","      37.071983"
"Publicly owned utility","Healdsburg, City of, Electric Department","2015","       0.775237","      35.194176","       4.078019","       7.644803","       1.176991","      26.581922","       0.002708","      75.453856"
"Publicly owned utility","Healdsburg, City of, Electric Department","2016","       0.802403","      35.225774","       4.170127","       7.544458","       1.209040","      26.364088","       0.002263","      75.318153"
"Publicly owned utility","Healdsburg, City of, Electric Department","2017","       0.889606","      35.380140","       4.538212","       7.615591","       1.026498","      27.756464","       0.002095","      77.208606"
"Publicly owned utility","Healdsburg, City of, Electric Department","2018","       1.053588","      34.130648","       3.977728","       6.471299","       0.996956","      26.836981","       0.002065","      73.469265"
"Publicly owned utility","Healdsburg, City of, Electric Department","2019","       0.898861","      34.285952","       4.581563","       6.949239","       0.883622","      27.496840","       0.002056","      75.098133"
"Publicly owned utility","Healdsburg, City of, Electric Department","2020","       0.963332","      31.156150","       4.508088","       7.225038","       0.851976","      29.205314","       0.001990","      73.911888"
"Publicly owned utility","Healdsburg, City of, Electric Department","2021","       0.591595","      31.818611","       4.455837","       7.012121","       1.015321","      26.655445","       0.001990","      71.550920"
"Publicly owned utility","Healdsburg, City of, Electric Department","2022","       0.690325","      33.458576","       4.296049","       7.088869","       1.147453","      27.243157","       0.001990","      73.926419"
"Publicly owned utility","Imperial Irrigation District","2015","     275.544056","    1174.708451","     182.105424","     113.025304","      72.616764","    1518.999999","      12.000000","    3348.999998"
"Publicly owned utility","Imperial Irrigation District","2016","     279.665386","    1176.046416","     179.507536","     123.583814","      73.196848","    1541.000000","      12.000000","    3385.000000"
"Publicly owned utility","Imperial Irrigation District","2017","     251.822908","    1035.976961","     155.425334","     133.080191","      66.873709","    1786.015329","      12.438000","    3441.632432"
"Publicly owned utility","Imperial Irrigation District","2018","     253.394207","    1040.217590","     155.011438","     138.529398","      67.030313","    1806.004660","      11.893451","    3472.081057"
"Publicly owned utility","Imperial Irrigation District","2019","     264.681184","    1030.139912","     157.643817","     148.653361","      68.518488","    1643.570132","      11.906421","    3325.113315"
"Publicly owned utility","Imperial Irrigation District","2020","     268.702530","     979.972314","     165.215180","     153.172131","      70.384502","    1862.408733","      11.967267","    3511.822657"
"Publicly owned utility","Imperial Irrigation District","2021","     281.007737","    1066.693791","     172.066003","     166.388073","      72.878030","    1725.681583","      11.273719","    3495.988936"
"Publicly owned utility","Imperial Irrigation District","2022","     274.038389","    1110.584640","     178.147812","     172.032361","      75.371452","    1762.715195","      11.481978","    3584.371827"
"Publicly owned utility","Industry, City of","2015","       0.794938","      35.494686","       3.222124","       1.492898","       0.026873","       0.160945","       0.000000","      41.192464"
"Publicly owned utility","Industry, City of","2016","       0.886013","      34.380228","       3.306116","       1.694431","       0.012727","       0.141935","       0.000000","      40.421450"
"Publicly owned utility","Industry, City of","2017","       0.811833","      33.157981","       3.825602","       1.951078","       0.000000","       0.156007","       0.000000","      39.902501"
"Publicly owned utility","Industry, City of","2018","       0.725737","      33.121353","       3.501034","       1.574868","       0.029021","       0.142668","       0.000000","      39.094681"
"Publicly owned utility","Industry, City of","2019","       1.133308","      32.809694","       3.666309","       1.559328","       0.000000","       0.144895","       0.000000","      39.313534"
"Publicly owned utility","Industry, City of","2020","       0.874063","      29.321433","       4.133519","       1.648827","       0.008813","       0.184723","       0.000000","      36.171378"
"Publicly owned utility","Industry, City of","2021","       0.847770","      32.077408","       4.545876","       1.674307","       0.018032","       0.156690","       0.000000","      39.320083"
"Publicly owned utility","Industry, City of","2022","       0.949296","      32.367917","       5.520223","       1.288190","       0.010604","       0.178637","       0.000000","      40.314867"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2015","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       6.110566","       0.000000","       6.110566"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2016","       0.000000","       2.790034","       0.771100","       0.000000","       0.000000","       2.982887","       0.000000","       6.544021"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2017","       0.000000","       3.074357","       0.811242","       0.000000","       0.000000","       3.012508","       0.000000","       6.898107"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2018","       0.000000","       3.132544","       0.830441","       0.000000","       0.000000","       2.915067","       0.000000","       6.878052"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2019","       0.000000","       2.862106","       0.782487","       0.000000","       0.000000","       3.006298","       0.000000","       6.650891"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2020","       0.000000","       2.605001","       0.783305","       0.000000","       0.000000","       2.901910","       0.000000","       6.290216"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2021","       0.000000","       2.514693","       0.754455","       0.000000","       0.000000","       2.944175","       0.000000","       6.213323"
"Publicly owned utility","Kirkwood Meadows Public Utility District","2022","       0.000000","       2.124593","       0.595621","       0.000000","       0.000000","       2.403915","       0.000000","       5.124129"
"Publicly owned utility","Lassen Municipal Utility District","2015","       8.834841","      48.576331","       0.000000","       0.000000","       0.000000","      67.884456","       0.427614","     125.723242"
"Publicly owned utility","Lassen Municipal Utility District","2016","      19.153198","      67.112203","       0.000000","       0.000000","       0.000000","      69.982334","       0.427773","     156.675508"
"Publicly owned utility","Lassen Municipal Utility District","2017","       4.872403","      49.842249","       0.000000","       0.000000","       0.000000","      70.996489","       0.428880","     126.140021"
"Publicly owned utility","Lassen Municipal Utility District","2018","       6.343830","      47.696729","       0.000000","       0.000000","       0.000000","      70.053013","       0.437608","     124.531180"
